start	end	text
0	4100	أبروكي فاقلك اليوم صار ما يشغل
4100	6100	فتحب رغاننا شيئ بوزيتيف
6100	8900	اليوم في نيام باطول من سار طارتي
8900	12300	يعني أن ألوش اسموشي وعلى كمشي تيني
12300	13580	ما أبل تموه
13580	18900	فمهما حكي حكي تموه ومشر حالوا باطلون الأمور
18900	21500	وعلول خلصنا همامش خلال الأمارك
21500	25500	سوف ينشعلم نيحة
25500	26700	فمتكيف
26700	28700	فالزمنا ملحل عديعاية
28700	31700	على الحادل شبس مول
31700	33700	شتج بطيو
33700	35700	وعلى باو سال والسطيو
35700	37700	وعلى شد بروجيات من عمله
37700	40700	ومسيرنا باطلونيها
40700	42700	المنوعات للتيني
42700	46700	وليش تغلشي سوش ميديو الممور
